16 May 2022 - 09:51:54.157 [main] INFO  o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
16 May 2022 - 09:51:54.157 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
16 May 2022 - 09:51:54.158 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Completed initialization in 1 ms
16 May 2022 - 09:51:54.182 [main] INFO  d.d.c.DefaultControllerTest - Started DefaultControllerTest in 2.034 seconds (JVM running for 3.698)
16 May 2022 - 09:52:27.727 [main] INFO  d.d.c.DefaultControllerTest - Starting DefaultControllerTest using Java 11.0.11 on DESKTOP-7I4BO0A with PID 6856 (started by USER in C:\Users\USER\Documents\Spring\dating)
16 May 2022 - 09:52:27.729 [main] INFO  d.d.c.DefaultControllerTest - No active profile set, falling back to default profiles: default
16 May 2022 - 09:52:28.584 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure Ant [pattern='/icons/*'] with []
16 May 2022 - 09:52:28.585 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure Ant [pattern='/**/*.css'] with []
16 May 2022 - 09:52:28.585 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure Ant [pattern='/static/**'] with []
16 May 2022 - 09:52:28.971 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@28fa541, org.springframework.security.web.context.SecurityContextPersistenceFilter@70d5d96b, org.springframework.security.web.header.HeaderWriterFilter@618f627b, org.springframework.security.web.authentication.logout.LogoutFilter@6c24f61d, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@6a1d1467, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@5611bba, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@29d2fa84, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@5a82bc58, org.springframework.security.web.session.SessionManagementFilter@72715e61, org.springframework.security.web.access.ExceptionTranslationFilter@24a8e40d, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@60f9dc7e]
16 May 2022 - 09:52:29.250 [main] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
16 May 2022 - 09:52:29.425 [main] INFO  o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
16 May 2022 - 09:52:29.425 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
16 May 2022 - 09:52:29.426 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Completed initialization in 1 ms
16 May 2022 - 09:52:29.454 [main] INFO  d.d.c.DefaultControllerTest - Started DefaultControllerTest in 2.04 seconds (JVM running for 3.728)
16 May 2022 - 09:52:41.581 [main] INFO  d.d.c.DefaultControllerTest - Starting DefaultControllerTest using Java 11.0.11 on DESKTOP-7I4BO0A with PID 12716 (started by USER in C:\Users\USER\Documents\Spring\dating)
16 May 2022 - 09:52:41.583 [main] INFO  d.d.c.DefaultControllerTest - No active profile set, falling back to default profiles: default
16 May 2022 - 09:52:42.472 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure Ant [pattern='/icons/*'] with []
16 May 2022 - 09:52:42.472 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure Ant [pattern='/**/*.css'] with []
16 May 2022 - 09:52:42.472 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure Ant [pattern='/static/**'] with []
16 May 2022 - 09:52:42.872 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@28fa541, org.springframework.security.web.context.SecurityContextPersistenceFilter@70d5d96b, org.springframework.security.web.header.HeaderWriterFilter@618f627b, org.springframework.security.web.authentication.logout.LogoutFilter@6c24f61d, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@6a1d1467, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@5611bba, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@29d2fa84, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@5a82bc58, org.springframework.security.web.session.SessionManagementFilter@72715e61, org.springframework.security.web.access.ExceptionTranslationFilter@24a8e40d, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@60f9dc7e]
16 May 2022 - 09:52:43.178 [main] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
16 May 2022 - 09:52:43.364 [main] INFO  o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
16 May 2022 - 09:52:43.364 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
16 May 2022 - 09:52:43.365 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Completed initialization in 1 ms
16 May 2022 - 09:52:43.392 [main] INFO  d.d.c.DefaultControllerTest - Started DefaultControllerTest in 2.112 seconds (JVM running for 3.787)
